LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,Lat,Lng,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
0,1610612737,1949,2019,ATL,Hawks,1949,Atlanta,State Farm Arena,33.7485470,-84.3915020,18729,Tony Ressler,Travis Schlenk,Lloyd Pierce,Erie Bayhawks
0,1610612738,1946,2019,BOS,Celtics,1946,Boston,TD Garden,42.3580560,-71.0636110,18624,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws
0,1610612751,1976,2019,BKN,Nets,1976,Brooklyn,Barclays Center,40.6925290,-73.9909960,,Joe Tsai,Sean Marks,Kenny Atkinson,Long Island Nets
0,1610612766,1988,2019,CHA,Hornets,1988,Charlotte,Spectrum Center,35.2237867,-80.8411413,19026,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm
0,1610612741,1966,2019,CHI,Bulls,1966,Chicago,United Center,41.8832290,-87.6323980,21711,Jerry Reinsdorf,Gar Forman,Jim Boylen,Windy City Bulls
0,1610612739,1970,2019,CLE,Cavaliers,1970,Cleveland,Rocket Mortgage Fieldhouse,41.4822220,-81.6697220,20562,Dan Gilbert,Koby Altman,John Beilein,Canton Charge
0,1610612742,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,32.7758330,-96.7966670,19200,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
0,1610612743,1976,2019,DEN,Nuggets,1976,Denver,Ball Arena,39.7420430,-104.9915310,19099,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate
0,1610612765,1948,2019,DET,Pistons,1948,Detroit,Little Caesars Arena,42.3329407,-83.0478365,21000,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive
0,1610612744,1946,2019,GSW,Warriors,1946,Golden State,Chase Center,37.7739720,-122.4312970,19596,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors
0,1610612745,1967,2019,HOU,Rockets,1967,Houston,Toyota Center,29.7627780,-95.3830560,18104,Tilman Fertitta,Daryl Morey,Mike D'Antoni,Rio Grande Valley Vipers
