,Team,Win%,Wins,Losses,new_year
0,Hawks,0.293,24,58,2017
1,Hawks,0.524,43,39,2016
2,Hawks,0.585,48,34,2015
3,Hawks,0.732,60,22,2014
4,Hawks,0.463,38,44,2013
5,Hawks,0.537,44,38,2012
6,Hawks,0.606,40,26,2011
7,Hawks,0.537,44,38,2010
8,Hawks,0.646,53,29,2009
9,Hawks,0.573,47,35,2008
10,Hawks,0.451,37,45,2007
11,Hawks,0.366,30,52,2006
12,Hawks,0.317,26,56,2005
13,Hawks,0.159,13,69,2004
14,Hawks,0.341,28,54,2003
15,Hawks,0.427,35,47,2002
16,Hawks,0.402,33,49,2001
17,Hawks,0.305,25,57,2000
18,Hawks,0.341,28,54,1999
19,Hawks,0.62,31,19,1998
20,Hawks,0.61,50,32,1997
21,Hawks,0.683,56,26,1996
22,Hawks,0.561,46,36,1995
23,Hawks,0.512,42,40,1994
24,Hawks,0.695,57,25,1993
25,Hawks,0.524,43,39,1992
26,Hawks,0.463,38,44,1991
27,Hawks,0.524,43,39,1990
28,Hawks,0.5,41,41,1989
29,Hawks,0.634,52,30,1988
30,Hawks,0.61,50,32,1987
31,Hawks,0.695,57,25,1986
32,Hawks,0.61,50,32,1985
33,Hawks,0.415,34,48,1984
34,Hawks,0.488,40,42,1983
35,Hawks,0.524,43,39,1982
36,Hawks,0.512,42,40,1981
37,Hawks,0.378,31,51,1980
38,Celtics,0.671,55,27,2017
39,Celtics,0.646,53,29,2016
40,Celtics,0.585,48,34,2015
41,Celtics,0.488,40,42,2014
42,Celtics,0.305,25,57,2013
43,Celtics,0.506,41,40,2012
44,Celtics,0.591,39,27,2011
45,Celtics,0.683,56,26,2010
46,Celtics,0.61,50,32,2009
47,Celtics,0.756,62,20,2008
48,Celtics,0.805,66,16,2007
49,Celtics,0.293,24,58,2006
50,Celtics,0.402,33,49,2005
51,Celtics,0.549,45,37,2004
52,Celtics,0.439,36,46,2003
53,Celtics,0.537,44,38,2002
54,Celtics,0.598,49,33,2001
55,Celtics,0.439,36,46,2000
56,Celtics,0.427,35,47,1999
57,Celtics,0.38,19,31,1998
58,Celtics,0.439,36,46,1997
59,Celtics,0.183,15,67,1996
60,Celtics,0.402,33,49,1995
61,Celtics,0.427,35,47,1994
62,Celtics,0.39,32,50,1993
63,Celtics,0.585,48,34,1992
64,Celtics,0.622,51,31,1991
65,Celtics,0.683,56,26,1990
66,Celtics,0.634,52,30,1989
67,Celtics,0.512,42,40,1988
68,Celtics,0.695,57,25,1987
69,Celtics,0.72,59,23,1986
70,Celtics,0.817,67,15,1985
71,Celtics,0.768,63,19,1984
72,Celtics,0.756,62,20,1983
73,Celtics,0.683,56,26,1982
74,Celtics,0.768,63,19,1981
75,Celtics,0.756,62,20,1980
76,Nets,0.341,28,54,2017
77,Nets,0.244,20,62,2016
78,Nets,0.256,21,61,2015
79,Nets,0.463,38,44,2014
80,Nets,0.537,44,38,2013
81,Nets,0.598,49,33,2012
82,Nets,0.333,22,44,2011
83,Nets,0.293,24,58,2010
84,Nets,0.146,12,70,2009
85,Nets,0.415,34,48,2008
86,Nets,0.415,34,48,2007
87,Nets,0.5,41,41,2006
88,Nets,0.598,49,33,2005
89,Nets,0.512,42,40,2004
90,Nets,0.573,47,35,2003
91,Nets,0.598,49,33,2002
92,Nets,0.634,52,30,2001
93,Nets,0.317,26,56,2000
94,Nets,0.378,31,51,1999
95,Nets,0.32,16,34,1998
96,Nets,0.524,43,39,1997
97,Nets,0.317,26,56,1996
98,Nets,0.366,30,52,1995
99,Nets,0.366,30,52,1994
100,Nets,0.549,45,37,1993
101,Nets,0.524,43,39,1992
102,Nets,0.488,40,42,1991
103,Nets,0.317,26,56,1990
104,Nets,0.207,17,65,1989
105,Nets,0.317,26,56,1988
106,Nets,0.232,19,63,1987
107,Nets,0.293,24,58,1986
108,Nets,0.476,39,43,1985
109,Nets,0.512,42,40,1984
110,Nets,0.549,45,37,1983
111,Nets,0.598,49,33,1982
112,Nets,0.537,44,38,1981
113,Nets,0.293,24,58,1980
114,Hornets,0.439,36,46,2017
115,Hornets,0.439,36,46,2016
116,Hornets,0.585,48,34,2015
117,Hornets,0.402,33,49,2014
118,Bobcats,0.524,43,39,2013
119,Bobcats,0.256,21,61,2012
120,Bobcats,0.106,7,59,2011
121,Bobcats,0.415,34,48,2010
122,Bobcats,0.537,44,38,2009
123,Bobcats,0.427,35,47,2008
124,Bobcats,0.39,32,50,2007
125,Bobcats,0.402,33,49,2006
126,Bobcats,0.317,26,56,2005
127,Bobcats,0.22,18,64,2004
128,Hornets,0.537,44,38,2001
129,Hornets,0.561,46,36,2000
130,Hornets,0.598,49,33,1999
131,Hornets,0.52,26,24,1998
132,Hornets,0.622,51,31,1997
133,Hornets,0.659,54,28,1996
134,Hornets,0.5,41,41,1995
135,Hornets,0.61,50,32,1994
136,Hornets,0.5,41,41,1993
137,Hornets,0.537,44,38,1992
138,Hornets,0.378,31,51,1991
139,Hornets,0.317,26,56,1990
140,Hornets,0.232,19,63,1989
141,Hornets,0.244,20,62,1988
142,Bulls,0.329,27,55,2017
143,Bulls,0.5,41,41,2016
144,Bulls,0.512,42,40,2015
145,Bulls,0.61,50,32,2014
146,Bulls,0.585,48,34,2013
147,Bulls,0.549,45,37,2012
148,Bulls,0.758,50,16,2011
149,Bulls,0.756,62,20,2010
150,Bulls,0.5,41,41,2009
151,Bulls,0.5,41,41,2008
152,Bulls,0.402,33,49,2007
153,Bulls,0.598,49,33,2006
154,Bulls,0.5,41,41,2005
155,Bulls,0.573,47,35,2004
156,Bulls,0.28,23,59,2003
157,Bulls,0.366,30,52,2002
158,Bulls,0.256,21,61,2001
159,Bulls,0.183,15,67,2000
160,Bulls,0.207,17,65,1999
161,Bulls,0.26,13,37,1998
162,Bulls,0.756,62,20,1997
163,Bulls,0.841,69,13,1996
164,Bulls,0.878,72,10,1995
165,Bulls,0.573,47,35,1994
166,Bulls,0.671,55,27,1993
167,Bulls,0.695,57,25,1992
168,Bulls,0.817,67,15,1991
169,Bulls,0.744,61,21,1990
170,Bulls,0.671,55,27,1989
171,Bulls,0.573,47,35,1988
172,Bulls,0.61,50,32,1987
173,Bulls,0.488,40,42,1986
174,Bulls,0.366,30,52,1985
175,Bulls,0.463,38,44,1984
176,Bulls,0.329,27,55,1983
177,Bulls,0.341,28,54,1982
178,Bulls,0.415,34,48,1981
179,Bulls,0.549,45,37,1980
180,Cavaliers,0.61,50,32,2017
181,Cavaliers,0.622,51,31,2016
182,Cavaliers,0.695,57,25,2015
183,Cavaliers,0.646,53,29,2014
184,Cavaliers,0.402,33,49,2013
185,Cavaliers,0.293,24,58,2012
186,Cavaliers,0.318,21,45,2011
187,Cavaliers,0.232,19,63,2010
188,Cavaliers,0.744,61,21,2009
189,Cavaliers,0.805,66,16,2008
190,Cavaliers,0.549,45,37,2007
191,Cavaliers,0.61,50,32,2006
192,Cavaliers,0.61,50,32,2005
193,Cavaliers,0.512,42,40,2004
194,Cavaliers,0.427,35,47,2003
195,Cavaliers,0.207,17,65,2002
196,Cavaliers,0.354,29,53,2001
197,Cavaliers,0.366,30,52,2000
198,Cavaliers,0.39,32,50,1999
199,Cavaliers,0.44,22,28,1998
200,Cavaliers,0.573,47,35,1997
201,Cavaliers,0.512,42,40,1996
202,Cavaliers,0.573,47,35,1995
203,Cavaliers,0.524,43,39,1994
204,Cavaliers,0.573,47,35,1993
205,Cavaliers,0.659,54,28,1992
206,Cavaliers,0.695,57,25,1991
207,Cavaliers,0.402,33,49,1990
208,Cavaliers,0.512,42,40,1989
209,Cavaliers,0.695,57,25,1988
210,Cavaliers,0.512,42,40,1987
211,Cavaliers,0.378,31,51,1986
212,Cavaliers,0.354,29,53,1985
213,Cavaliers,0.439,36,46,1984
214,Cavaliers,0.341,28,54,1983
215,Cavaliers,0.28,23,59,1982
216,Cavaliers,0.183,15,67,1981
217,Mavericks,0.293,24,58,2017
218,Mavericks,0.402,33,49,2016
219,Mavericks,0.512,42,40,2015
220,Mavericks,0.61,50,32,2014
221,Mavericks,0.598,49,33,2013
222,Mavericks,0.5,41,41,2012
223,Mavericks,0.545,36,30,2011
224,Mavericks,0.695,57,25,2010
225,Mavericks,0.671,55,27,2009
226,Mavericks,0.61,50,32,2008
227,Mavericks,0.622,51,31,2007
228,Mavericks,0.817,67,15,2006
229,Mavericks,0.732,60,22,2005
230,Mavericks,0.707,58,24,2004
231,Mavericks,0.634,52,30,2003
232,Mavericks,0.732,60,22,2002
233,Mavericks,0.695,57,25,2001
234,Mavericks,0.646,53,29,2000
235,Mavericks,0.488,40,42,1999
236,Mavericks,0.38,19,31,1998
237,Mavericks,0.244,20,62,1997
238,Mavericks,0.293,24,58,1996
239,Mavericks,0.317,26,56,1995
240,Mavericks,0.439,36,46,1994
241,Mavericks,0.159,13,69,1993
242,Mavericks,0.134,11,71,1992
243,Mavericks,0.268,22,60,1991
244,Mavericks,0.341,28,54,1990
245,Mavericks,0.573,47,35,1989
246,Mavericks,0.463,38,44,1988
247,Mavericks,0.646,53,29,1987
248,Mavericks,0.671,55,27,1986
249,Mavericks,0.537,44,38,1985
250,Mavericks,0.537,44,38,1984
251,Mavericks,0.524,43,39,1983
252,Mavericks,0.463,38,44,1982
253,Mavericks,0.341,28,54,1981
254,Mavericks,0.183,15,67,1980
255,Nuggets,0.561,46,36,2017
256,Nuggets,0.488,40,42,2016
257,Nuggets,0.402,33,49,2015
258,Nuggets,0.366,30,52,2014
259,Nuggets,0.439,36,46,2013
260,Nuggets,0.695,57,25,2012
261,Nuggets,0.576,38,28,2011
262,Nuggets,0.61,50,32,2010
263,Nuggets,0.646,53,29,2009
264,Nuggets,0.659,54,28,2008
265,Nuggets,0.61,50,32,2007
266,Nuggets,0.549,45,37,2006
267,Nuggets,0.537,44,38,2005
268,Nuggets,0.598,49,33,2004
269,Nuggets,0.524,43,39,2003
270,Nuggets,0.207,17,65,2002
271,Nuggets,0.329,27,55,2001
272,Nuggets,0.488,40,42,2000
273,Nuggets,0.427,35,47,1999
274,Nuggets,0.28,14,36,1998
275,Nuggets,0.134,11,71,1997
276,Nuggets,0.256,21,61,1996
277,Nuggets,0.427,35,47,1995
278,Nuggets,0.5,41,41,1994
279,Nuggets,0.512,42,40,1993
280,Nuggets,0.439,36,46,1992
281,Nuggets,0.293,24,58,1991
282,Nuggets,0.244,20,62,1990
283,Nuggets,0.524,43,39,1989
284,Nuggets,0.537,44,38,1988
285,Nuggets,0.659,54,28,1987
286,Nuggets,0.451,37,45,1986
287,Nuggets,0.573,47,35,1985
288,Nuggets,0.634,52,30,1984
289,Nuggets,0.463,38,44,1983
290,Nuggets,0.549,45,37,1982
291,Nuggets,0.561,46,36,1981
292,Nuggets,0.451,37,45,1980
293,Pistons,0.476,39,43,2017
294,Pistons,0.451,37,45,2016
295,Pistons,0.537,44,38,2015
296,Pistons,0.39,32,50,2014
297,Pistons,0.354,29,53,2013
298,Pistons,0.354,29,53,2012
299,Pistons,0.379,25,41,2011
300,Pistons,0.366,30,52,2010
301,Pistons,0.329,27,55,2009
302,Pistons,0.476,39,43,2008
303,Pistons,0.72,59,23,2007
304,Pistons,0.646,53,29,2006
305,Pistons,0.78,64,18,2005
306,Pistons,0.659,54,28,2004
307,Pistons,0.659,54,28,2003
308,Pistons,0.61,50,32,2002
309,Pistons,0.61,50,32,2001
310,Pistons,0.39,32,50,2000
311,Pistons,0.512,42,40,1999
312,Pistons,0.58,29,21,1998
313,Pistons,0.451,37,45,1997
314,Pistons,0.659,54,28,1996
315,Pistons,0.561,46,36,1995
316,Pistons,0.341,28,54,1994
317,Pistons,0.244,20,62,1993
318,Pistons,0.488,40,42,1992
319,Pistons,0.585,48,34,1991
320,Pistons,0.61,50,32,1990
321,Pistons,0.72,59,23,1989
322,Pistons,0.768,63,19,1988
323,Pistons,0.659,54,28,1987
324,Pistons,0.634,52,30,1986
325,Pistons,0.561,46,36,1985
326,Pistons,0.561,46,36,1984
327,Pistons,0.598,49,33,1983
328,Pistons,0.451,37,45,1982
329,Pistons,0.476,39,43,1981
330,Pistons,0.256,21,61,1980
331,Pistons,0.195,16,66,1979
332,Warriors,0.707,58,24,2017
333,Warriors,0.817,67,15,2016
334,Warriors,0.89,73,9,2015
335,Warriors,0.817,67,15,2014
336,Warriors,0.622,51,31,2013
337,Warriors,0.573,47,35,2012
338,Warriors,0.348,23,43,2011
339,Warriors,0.439,36,46,2010
340,Warriors,0.317,26,56,2009
341,Warriors,0.354,29,53,2008
342,Warriors,0.585,48,34,2007
343,Warriors,0.512,42,40,2006
344,Warriors,0.415,34,48,2005
345,Warriors,0.415,34,48,2004
346,Warriors,0.451,37,45,2003
347,Warriors,0.463,38,44,2002
348,Warriors,0.256,21,61,2001
349,Warriors,0.207,17,65,2000
350,Warriors,0.232,19,63,1999
351,Warriors,0.42,21,29,1998
352,Warriors,0.232,19,63,1997
353,Warriors,0.366,30,52,1996
354,Warriors,0.439,36,46,1995
355,Warriors,0.317,26,56,1994
356,Warriors,0.61,50,32,1993
357,Warriors,0.415,34,48,1992
358,Warriors,0.671,55,27,1991
359,Warriors,0.537,44,38,1990
360,Warriors,0.451,37,45,1989
361,Warriors,0.524,43,39,1988
362,Warriors,0.244,20,62,1987
363,Warriors,0.512,42,40,1986
364,Warriors,0.366,30,52,1985
365,Warriors,0.268,22,60,1984
366,Warriors,0.451,37,45,1983
367,Warriors,0.366,30,52,1982
368,Warriors,0.549,45,37,1981
369,Warriors,0.476,39,43,1980
370,Rockets,0.793,65,17,2017
371,Rockets,0.671,55,27,2016
372,Rockets,0.5,41,41,2015
373,Rockets,0.683,56,26,2014
374,Rockets,0.659,54,28,2013
375,Rockets,0.549,45,37,2012
376,Rockets,0.515,34,32,2011
377,Rockets,0.524,43,39,2010
378,Rockets,0.512,42,40,2009
379,Rockets,0.646,53,29,2008
380,Rockets,0.671,55,27,2007
381,Rockets,0.634,52,30,2006
382,Rockets,0.415,34,48,2005
383,Rockets,0.622,51,31,2004
384,Rockets,0.549,45,37,2003
385,Rockets,0.524,43,39,2002
386,Rockets,0.341,28,54,2001
387,Rockets,0.549,45,37,2000
388,Rockets,0.415,34,48,1999
389,Rockets,0.62,31,19,1998
390,Rockets,0.5,41,41,1997
391,Rockets,0.695,57,25,1996
392,Rockets,0.585,48,34,1995
393,Rockets,0.573,47,35,1994
394,Rockets,0.707,58,24,1993
395,Rockets,0.671,55,27,1992
396,Rockets,0.512,42,40,1991
397,Rockets,0.634,52,30,1990
398,Rockets,0.5,41,41,1989
399,Rockets,0.549,45,37,1988
400,Rockets,0.561,46,36,1987
401,Rockets,0.512,42,40,1986
402,Rockets,0.622,51,31,1985
403,Rockets,0.585,48,34,1984
404,Rockets,0.354,29,53,1983
405,Rockets,0.171,14,68,1982
406,Rockets,0.561,46,36,1981
407,Rockets,0.488,40,42,1980
408,Pacers,0.585,48,34,2017
409,Pacers,0.512,42,40,2016
410,Pacers,0.549,45,37,2015
411,Pacers,0.463,38,44,2014
412,Pacers,0.683,56,26,2013
413,Pacers,0.605,49,32,2012
414,Pacers,0.636,42,24,2011
415,Pacers,0.451,37,45,2010
416,Pacers,0.39,32,50,2009
417,Pacers,0.439,36,46,2008
418,Pacers,0.439,36,46,2007
419,Pacers,0.427,35,47,2006
420,Pacers,0.5,41,41,2005
421,Pacers,0.537,44,38,2004
422,Pacers,0.744,61,21,2003
423,Pacers,0.585,48,34,2002
424,Pacers,0.512,42,40,2001
425,Pacers,0.5,41,41,2000
426,Pacers,0.683,56,26,1999
427,Pacers,0.66,33,17,1998
428,Pacers,0.707,58,24,1997
429,Pacers,0.476,39,43,1996
430,Pacers,0.634,52,30,1995
431,Pacers,0.634,52,30,1994
432,Pacers,0.573,47,35,1993
433,Pacers,0.5,41,41,1992
434,Pacers,0.488,40,42,1991
435,Pacers,0.5,41,41,1990
436,Pacers,0.512,42,40,1989
437,Pacers,0.341,28,54,1988
438,Pacers,0.463,38,44,1987
439,Pacers,0.5,41,41,1986
440,Pacers,0.317,26,56,1985
441,Pacers,0.268,22,60,1984
442,Pacers,0.317,26,56,1983
443,Pacers,0.244,20,62,1982
444,Pacers,0.427,35,47,1981
445,Pacers,0.537,44,38,1980
446,Clippers,0.512,42,40,2017
447,Clippers,0.622,51,31,2016
448,Clippers,0.646,53,29,2015
449,Clippers,0.683,56,26,2014
450,Clippers,0.695,57,25,2013
451,Clippers,0.683,56,26,2012
452,Clippers,0.606,40,26,2011
453,Clippers,0.39,32,50,2010
454,Clippers,0.354,29,53,2009
455,Clippers,0.232,19,63,2008
456,Clippers,0.28,23,59,2007
457,Clippers,0.488,40,42,2006
